profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
2795,Carina,Lindner,female,german,5,405.0,11.0,8.0,27.160493827160494,19.753086419753085,3.0,6.0,
2860,Carina,Lindner,female,german,5,346.0,2.0,16.0,5.780346820809248,46.24277456647398,0.0,8.0,
2927,Carina,Lindner,female,german,5,400.0,7.0,9.0,17.5,22.5,1.0,5.0,
307,Carina,Lindner,female,german,5,391.0,10.0,6.0,25.57544757033248,15.34526854219949,1.0,4.0,
3131,Carina,Lindner,female,german,5,374.0,5.0,9.0,13.368983957219251,24.06417112299465,1.0,5.0,
377,Carina,Lindner,female,german,5,520.0,12.0,18.0,23.076923076923077,34.61538461538462,0.0,13.0,
465,Carina,Lindner,female,german,5,365.0,5.0,13.0,13.698630136986301,35.61643835616438,1.0,9.0,
528,Carina,Lindner,,,5,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4127 (char 4126)"
571,Carina,Lindner,female,german,5,400.0,7.0,4.0,17.5,10.0,1.0,2.0,
6,Carina,Lindner,,,5,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 2373 (char 2372)"
762,Carina,Lindner,female,german,5,407.0,7.0,13.0,17.1990171990172,31.94103194103194,0.0,9.0,
778,Carina,Lindner,female,german,5,330.0,13.0,6.0,39.39393939393939,18.18181818181818,4.0,3.0,
930,Carina,Lindner,female,german,5,538.0,7.0,12.0,13.011152416356877,22.304832713754646,1.0,7.0,
1416,Daniel,Kuhn,male,german,14,372.0,3.0,12.0,8.064516129032258,32.25806451612903,0.0,7.0,
1485,Daniel,Kuhn,male,german,14,365.0,8.0,10.0,21.91780821917808,27.397260273972602,2.0,6.0,
1665,Daniel,Kuhn,male,german,14,580.0,14.0,17.0,24.137931034482758,29.310344827586206,2.0,11.0,
1737,Daniel,Kuhn,male,german,14,426.0,10.0,14.0,23.474178403755868,32.863849765258216,2.0,8.0,
176,Daniel,Kuhn,male,german,14,418.0,5.0,10.0,11.961722488038278,23.923444976076556,1.0,9.0,
1871,Daniel,Kuhn,male,german,14,357.0,6.0,9.0,16.80672268907563,25.210084033613445,2.0,6.0,
1885,Daniel,Kuhn,male,german,14,447.0,11.0,18.0,24.608501118568235,40.26845637583892,0.0,11.0,
201,Daniel,Kuhn,male,german,14,457.0,6.0,20.0,13.129102844638949,43.7636761487965,0.0,11.0,
2100,Daniel,Kuhn,male,german,14,347.0,6.0,6.0,17.29106628242075,17.29106628242075,1.0,4.0,
2147,Daniel,Kuhn,male,german,14,370.0,8.0,11.0,21.62162162162162,29.72972972972973,1.0,8.0,
2168,Daniel,Kuhn,male,german,14,303.0,5.0,12.0,16.5016501650165,39.603960396039604,3.0,7.0,
2173,Daniel,Kuhn,male,german,14,434.0,10.0,15.0,23.041474654377883,34.562211981566826,2.0,10.0,
