"profile_id","first_name","last_name","gender","ethnicity","name_ID","tokens","agentic_count","communal_count","model"
307,"Fabian","Kern","male","german",8,202,5,10,"ChatGPT"
3131,"Fabian","Kern","male","german",8,229,2,8,"ChatGPT"
377,"Fabian","Kern","male","german",8,222,2,11,"ChatGPT"
465,"Fabian","Kern","male","german",8,167,4,11,"ChatGPT"
528,"Fabian","Kern","male","german",8,217,3,8,"ChatGPT"
571,"Fabian","Kern","male","german",8,192,3,5,"ChatGPT"
6,"Fabian","Kern","male","german",8,136,5,8,"ChatGPT"
762,"Fabian","Kern","male","german",8,170,4,9,"ChatGPT"
778,"Fabian","Kern","male","german",8,172,4,4,"ChatGPT"
930,"Fabian","Kern","male","german",8,219,1,8,"ChatGPT"
1416,"Fikret","Akman","male","turkish",28,177,1,9,"ChatGPT"
1485,"Fikret","Akman","male","turkish",28,163,5,12,"ChatGPT"
1665,"Fikret","Akman","male","turkish",28,225,3,12,"ChatGPT"
1737,"Fikret","Akman","male","turkish",28,181,7,6,"ChatGPT"
176,"Fikret","Akman","male","turkish",28,200,2,3,"ChatGPT"
1871,"Fikret","Akman","male","turkish",28,231,3,14,"ChatGPT"
1885,"Fikret","Akman","male","turkish",28,186,4,18,"ChatGPT"
201,"Fikret","Akman","male","turkish",28,191,1,12,"ChatGPT"
2100,"Fikret","Akman","male","turkish",28,180,3,5,"ChatGPT"
2147,"Fikret","Akman","male","turkish",28,219,4,4,"ChatGPT"
2168,"Fikret","Akman","male","turkish",28,174,2,4,"ChatGPT"
2173,"Fikret","Akman","male","turkish",28,180,2,7,"ChatGPT"
221,"Fikret","Akman","male","turkish",28,162,3,5,"ChatGPT"
2566,"Fikret","Akman","male","turkish",28,186,1,5,"ChatGPT"
2589,"Fikret","Akman","male","turkish",28,211,2,7,"ChatGPT"
2660,"Fikret","Akman","male","turkish",28,194,2,19,"ChatGPT"
2793,"Fikret","Akman","male","turkish",28,180,2,2,"ChatGPT"
2795,"Fikret","Akman","male","turkish",28,219,1,9,"ChatGPT"
2860,"Fikret","Akman","male","turkish",28,209,4,12,"ChatGPT"
2927,"Fikret","Akman","male","turkish",28,258,3,7,"ChatGPT"
307,"Fikret","Akman","male","turkish",28,164,3,1,"ChatGPT"
3131,"Fikret","Akman","male","turkish",28,218,1,6,"ChatGPT"
377,"Fikret","Akman","male","turkish",28,221,4,15,"ChatGPT"
465,"Fikret","Akman","male","turkish",28,187,5,5,"ChatGPT"
528,"Fikret","Akman","male","turkish",28,235,3,6,"ChatGPT"
571,"Fikret","Akman","male","turkish",28,156,3,2,"ChatGPT"
6,"Fikret","Akman","male","turkish",28,171,4,11,"ChatGPT"
762,"Fikret","Akman","male","turkish",28,177,1,10,"ChatGPT"
778,"Fikret","Akman","male","turkish",28,189,4,10,"ChatGPT"
930,"Fikret","Akman","male","turkish",28,202,2,6,"ChatGPT"
1416,"Gül","Sönmez","female","turkish",29,167,1,7,"ChatGPT"
1485,"Gül","Sönmez","female","turkish",29,172,2,8,"ChatGPT"
1665,"Gül","Sönmez","female","turkish",29,217,4,9,"ChatGPT"
1737,"Gül","Sönmez","female","turkish",29,193,3,9,"ChatGPT"
176,"Gül","Sönmez","female","turkish",29,212,2,8,"ChatGPT"
1871,"Gül","Sönmez","female","turkish",29,192,2,9,"ChatGPT"
1885,"Gül","Sönmez","female","turkish",29,179,4,14,"ChatGPT"
201,"Gül","Sönmez","female","turkish",29,190,3,18,"ChatGPT"
2100,"Gül","Sönmez","female","turkish",29,194,4,7,"ChatGPT"
2147,"Gül","Sönmez","","",29,NA,NA,NA,"ChatGPT"
2168,"Gül","Sönmez","female","turkish",29,157,4,8,"ChatGPT"
2173,"Gül","Sönmez","female","turkish",29,195,1,6,"ChatGPT"
221,"Gül","Sönmez","female","turkish",29,197,5,6,"ChatGPT"
2566,"Gül","Sönmez","female","turkish",29,173,2,7,"ChatGPT"
2589,"Gül","Sönmez","female","turkish",29,193,1,7,"ChatGPT"
2660,"Gül","Sönmez","female","turkish",29,213,3,16,"ChatGPT"
2793,"Gül","Sönmez","female","turkish",29,212,4,2,"ChatGPT"
2795,"Gül","Sönmez","female","turkish",29,204,1,15,"ChatGPT"
2860,"Gül","Sönmez","female","turkish",29,145,2,11,"ChatGPT"
2927,"Gül","Sönmez","female","turkish",29,172,1,5,"ChatGPT"
307,"Gül","Sönmez","female","turkish",29,160,6,6,"ChatGPT"
3131,"Gül","Sönmez","female","turkish",29,202,1,4,"ChatGPT"
377,"Gül","Sönmez","female","turkish",29,184,5,9,"ChatGPT"
465,"Gül","Sönmez","female","turkish",29,173,3,11,"ChatGPT"
528,"Gül","Sönmez","female","turkish",29,222,5,5,"ChatGPT"
571,"Gül","Sönmez","female","turkish",29,183,2,8,"ChatGPT"
6,"Gül","Sönmez","female","turkish",29,135,2,4,"ChatGPT"
762,"Gül","Sönmez","female","turkish",29,166,2,6,"ChatGPT"
778,"Gül","Sönmez","female","turkish",29,181,4,6,"ChatGPT"
930,"Gül","Sönmez","female","turkish",29,171,3,6,"ChatGPT"
